cGameStatePlay initialized...
Program window created...
player.x : 124
player.y : 628
m_objects.x : 1568
m_objects.y : 224
player.x : 124
player.y : 627
m_objects.x : 1568
m_objects.y : 224
player.x : 124
player.y : 627
m_objects.x : 1568
m_objects.y : 224
player.x : 124
player.y : 625
m_objects.x : 1568
m_objects.y : 224
player.x : 124
player.y : 622
m_objects.x : 1568
m_objects.y : 224
player.x : 124
player.y : 618
m_objects.x : 1568
m_objects.y : 224
player.x : 124
player.y : 613
m_objects.x : 1568
m_objects.y : 224
player.x : 124
player.y : 607
m_objects.x : 1568
m_objects.y : 224
player.x : 124
player.y : 600
m_objects.x : 1568
m_objects.y : 224
player.x : 124
player.y : 592
m_objects.x : 1568
m_objects.y : 224
player.x : 124
player.y : 583
m_objects.x : 1568
m_objects.y : 224
player.x : 124
player.y : 583
m_objects.x : 1568
m_objects.y : 224
player.x : 124
player.y : 628
m_objects.x : 1568
m_objects.y : 224
player.x : 124
player.y : 627
m_objects.x : 1568
m_objects.y : 224
player.x : 124
player.y : 627
m_objects.x : 1568
m_objects.y : 224
cGameStatePlay initialized...
Program window created...
player.x : 124
player.y : 628
m_objects.x : 1568
m_objects.y : 224
player.x : 124
player.y : 627
m_objects.x : 1568
m_objects.y : 224
player.x : 124
player.y : 627
m_objects.x : 1568
m_objects.y : 224
player.x : 124
player.y : 625
m_objects.x : 1568
m_objects.y : 224
player.x : 124
player.y : 622
m_objects.x : 1568
m_objects.y : 224
player.x : 124
player.y : 618
m_objects.x : 1568
m_objects.y : 224
player.x : 124
player.y : 613
m_objects.x : 1568
m_objects.y : 224
player.x : 124
player.y : 607
m_objects.x : 1568
m_objects.y : 224
player.x : 124
player.y : 607
m_objects.x : 1568
m_objects.y : 224
player.x : 124
player.y : 600
m_objects.x : 1568
m_objects.y : 224
player.x : 124
player.y : 600
m_objects.x : 1568
m_objects.y : 224
player.x : 124
player.y : 592
m_objects.x : 1568
m_objects.y : 224
player.x : 124
player.y : 592
m_objects.x : 1568
m_objects.y : 224
player.x : 124
player.y : 583
m_objects.x : 1568
m_objects.y : 224
player.x : 124
player.y : 628
m_objects.x : 1568
m_objects.y : 224
cGameStatePlay initialized...
Program window created...
player.x : 124
player.y : 628
m_objects.x : 1568
m_objects.y : 224
player.x : 124
player.y : 627
m_objects.x : 1568
m_objects.y : 224
player.x : 124
player.y : 627
m_objects.x : 1568
m_objects.y : 224
player.x : 124
player.y : 625
m_objects.x : 1568
m_objects.y : 224
player.x : 124
player.y : 622
m_objects.x : 1568
m_objects.y : 224
player.x : 124
player.y : 622
m_objects.x : 1568
m_objects.y : 224
player.x : 124
player.y : 618
m_objects.x : 1568
m_objects.y : 224
player.x : 124
player.y : 613
m_objects.x : 1568
m_objects.y : 224
player.x : 124
player.y : 607
